event_date,actor1,assoc_actor_1,actor2,assoc_actor_2,fatalities,interaction,admin1,admin2,latitude,longitude,notes
2017-05-09,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Al Quds,31.8165,35.2275,"On 9 May 2017, Israeli settlers, belonging to the Price Tag organization, damaged 20 Palestinian vehicles in Al Quds - Shuafat. The settlers also wrote racist slogans against Arabs on the walls of the vehicles and houses."
2017-05-16,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.1667,35.2333,A Palestinian man was hospitalized after a group of Israeli settlers threw rocks at Palestinians near Yizharwith rocks south of Nablus in the northern occupiedWest Bankon Tuesday night.
2017-05-25,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.5283,35.1189,A four-year-old Palestinian child was injured after being hit by an Israeli settler's vehicle near the Kiryat Arba settlement in the southern occupied West Bank.
2017-05-26,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Labor Group (Palestine),0.0,Rioters-Civilians,West Bank,Hebron,31.5283,35.1189,A group of Israeli settlers attacked a number of commercial shops owned by Palestinians on Friday in Hebron district near Israel's Kiryat Arba settlement.
2017-05-27,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.1859,35.2311,A group of Israeli settlers from Yitzhar assaulted a Palestinian shepherd in the village of Madama on Saturday.
2017-06-04,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Al Quds,31.7834,35.2339,"On 4 June 2017, a number of Palestinian-owned vehicles in Al Quds (West Bank) were vandalized with at least one car being painted with the message 'Death to Arabs' in Hebrew. Other cars were spray painted and had punctured tires."
2017-06-05,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Al Quds,31.7834,35.2339,"On 5 June 2017, Israeli settlers, belonging to the Price Tag organization, damaged 5 Palestinian vehicles in Al Quds. The settlers also wrote racist slogans against Arabs and Muslims on the walls of the vehicles and houses."
2017-06-09,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Al Quds,31.7439,35.2056,"On 9 June 2017, Israeli settlers vandalized a number of Palestinian-owned cars in Al Quds - Bayt Safafa (West Bank). Settlers slashed the tires of several Palestinian-owned cars and spray-painted racist anti-Arab graffiti on walls in the neighborhood."
2017-06-20,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.2533,35.1889,Settlers early Tuesday attacked Palestinian cars near the settlement of Shavei Shomron.
2017-06-25,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Bethlehem,31.701,35.112,"On 25 June 2017, an Israeli settler stabbed and injured a Palestinian civilian near Baytar Illit settlement."
2017-07-05,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.5294,35.0938,A group of Israeli settlers beat a Palestinian on al-Shuhada street in the Old City of Hebron in the southern occupied West Bank Tuesday night.
2017-07-06,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Al Quds,31.7684,35.2381,"Israeli settlers assaulted Wednesday Palestinian civilians, including children, in the neighborhood of Silwan, in occupied East Jerusalem."
2017-07-07,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Jenin,32.473,35.0936,"Israeli settlers Friday attacked Palestinians passing through Barta military checkpoint, west of Jenin and broke the windshield of one car."
2017-07-07,Settlers (Israel),,Civilians (Palestine),,1.0,Political militia-Civilians,West Bank,Bethlehem,31.7049,35.2038,A Palestinian man Friday dawn [7 July] succumbed to his wounds after reportedly being run over by an Israeli settler west of Bethlehem city.
2017-07-09,Settlers (Israel),,Civilians (Palestine),Women (Palestine),0.0,Political militia-Civilians,West Bank,Hebron,31.623,35.1371,28-year-old pregnant Palestinian woman was walking along the main road next to al-Arroub refugee camp on Sunday morning when she was struck by a settler's vehicle.
2017-07-14,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Bethlehem,31.6693,35.2383,Israeli settlers threw stones Friday at Palestinian registered cars passing by the village of al-Fardis to the east of Bethlehem. No injuries were reported.
2017-07-19,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.5294,35.0938,A 10-year-old Palestinian child was seriously injured on Wednesday after being hit by an Israeli settler vehicle in the area of Wadi al-Hsien in Hebron city in the southern occupied West Bank.
2017-07-22,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Ramallah and Al Bireh,31.9333,35.2167,"Israeli settlers from the West Bank settlement of Beit El Saturday night attacked Palestinian-registered vehicles passing near the settlement, with stones. Settler attacks were witnessed in more than one location along the settlement and nearby streets, particularly close to the DCO checkpoint and at Ramallah-Jalazone road. No one was injured in the attacks,however, several cars were reportedly damaged."
2017-07-23,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Hebron,31.4399,35.0284,Eyewitnesses said that a group of Israeli settlers from the Otniel settlement south of Hebron threw rocks at Palestinian vehicles.
